Month,Stations,BOD (mg/L),Dissolved Oxygen (mg/L),"Fecal Coliform, MPN/100ml (Geomean)",pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phospate (mg/L)
Feb-16,Stn. II (East Bay),2.00,7.90,410.00,8.00,0.057,0.357,0.059
Feb-16,Stn. IV (Central Bay),1.00,7.80,522.00,7.80,0.036,0.335,0.063
Feb-16,Stn. V (Northern West Bay),2.00,7.50,360.00,8.00,0.018,0.715,0.135
Feb-16,Stn. VIII (South Bay),1.00,7.50,435.00,8.00,0.006,0.375,0.098
Feb-16,Stn. XV (San Pedro),1.00,7.80,820.00,8.00,0.027,0.538,0.067
Feb-16,Stn. XVI (Sta. Rosa),2.00,8.30,639.00,8.20,0.008,0.285,0.040
Feb-16,Stn. XVIII (Pagsanjan),2.00,8.30,401.00,8.10,0.024,0.283,0.056
Mar-16,Stn. I (Central West Bay),1.00,7.60,678.00,8.00,0.045,0.308,0.021
Mar-16,Stn. II (East Bay),1.00,8.40,333.00,8.30,0.264,0.176,0.004
Mar-16,Stn. IV (Central Bay),1.00,8.30,457.00,8.10,0.019,0.355,0.006
Mar-16,Stn. V (Northern West Bay),1.00,7.60,357.00,8.00,0.133,0.103,0.037
Mar-16,Stn. VIII (South Bay),1.00,8.00,672.00,7.80,0.220,0.204,0.001
Mar-16,Stn. XV (San Pedro),1.00,7.60,485.00,8.10,0.169,0.352,0.030
Mar-16,Stn. XVI (Sta. Rosa),1.00,8.10,271.00,8.20,0.027,0.559,0.003
Mar-16,Stn. XVII (Sanctuary),1.00,7.90,918.00,8.10,0.092,0.192,0.016
Mar-16,Stn. XVIII (Pagsanjan),1.00,8.50,301.00,7.80,0.024,0.004,0.007
Apr-16,Stn. I (Central West Bay),1.00,8.60,144.00,8.70,0.152,0.065,0.125
Apr-16,Stn. II (East Bay),1.00,8.30,627.00,8.50,0.085,0.046,0.071
Apr-16,Stn. IV (Central Bay),1.00,8.60,125.00,8.70,0.129,0.039,0.104
Apr-16,Stn. V (Northern West Bay),1.00,7.50,125.00,8.90,0.083,0.087,0.102
Apr-16,Stn. VIII (South Bay),1.00,8.30,428.00,8.50,0.094,0.081,0.084
Apr-16,Stn. XV (San Pedro),2.00,8.60,201.00,8.30,0.088,0.128,0.103
Apr-16,Stn. XVI (Sta. Rosa),1.00,8.10,165.00,8.30,0.081,0.102,0.087
Apr-16,Stn. XVII (Sanctuary),1.00,8.30,294.00,8.60,0.058,0.088,0.089
Apr-16,Stn. XVIII (Pagsanjan),1.00,8.50,110.00,8.70,0.068,0.096,0.031
May-16,Stn. I (Central West Bay),1.00,6.40,144.00,8.30,0.236,0.001,0.147
May-16,Stn. IV (Central Bay),1.00,6.80,117.00,8.30,0.050,0.002,0.103
May-16,Stn. VIII (South Bay),1.00,7.90,620.00,8.30,0.055,0.001,0.077
May-16,Stn. XV (San Pedro),3.00,6.90,185.00,8.20,0.074,0.019,0.069
May-16,Stn. XVI (Sta. Rosa),2.00,7.70,107.00,8.30,0.054,0.036,0.067
May-16,Stn. XVII (Sanctuary),2.00,7.50,86.00,8.10,0.079,0.051,0.066
May-16,Stn. XVIII (Pagsanjan),4.00,10.00,51.00,9.40,0.056,0.004,0.004
Jun-16,Stn. IV (Central Bay),3.00,9.50,117.00,9.60,0.051,0.051,0.149
Jun-16,Stn. V (Northern West Bay),3.00,9.50,363.00,9.00,0.336,0.069,0.190
Jun-16,Stn. VIII (South Bay),3.00,8.90,709.00,9.40,0.054,0.684,0.095
Jun-16,Stn. XV (San Pedro),3.00,7.60,208.00,8.90,0.067,0.770,0.120
Jun-16,Stn. XVI (Sta. Rosa),2.00,7.70,83.00,9.00,0.042,0.165,0.087
Jun-16,Stn. XVII (Sanctuary),3.00,8.90,35.00,9.30,0.047,0.372,0.073
Jun-16,Stn. XVIII (Pagsanjan),4.00,9.10,26.00,9.40,0.031,0.798,0.120
Jul-16,Stn. I (Central West Bay),2.00,7.30,185.00,8.80,0.025,0.068,0.134
Jul-16,Stn. II (East Bay),1.00,9.70,586.00,9.50,0.015,0.574,0.179
Jul-16,Stn. V (Northern West Bay),2.00,6.30,793.00,8.90,0.067,0.110,0.048
Jul-16,Stn. VIII (South Bay),1.00,8.10,517.00,9.00,0.031,0.001,0.143
Jul-16,Stn. XVI (Sta. Rosa),2.00,7.50,136.00,8.70,0.039,0.001,0.074
Jul-16,Stn. XVII (Sanctuary),2.00,7.80,41.00,8.80,0.028,0.001,0.134
Jul-16,Stn. XVIII (Pagsanjan),3.00,9.40,38.00,9.60,0.001,0.038,0.001
Aug-16,Stn. I (Central West Bay),3.00,5.50,126.00,8.10,0.313,0.382,0.235
Aug-16,Stn. II (East Bay),2.00,6.80,665.00,8.90,0.181,0.271,0.001
Aug-16,Stn. IV (Central Bay),2.00,7.30,121.00,8.60,0.183,0.142,0.014
Aug-16,Stn. VIII (South Bay),2.00,7.60,586.00,9.10,0.069,0.028,0.001
Aug-16,Stn. XV (San Pedro),2.00,6.50,418.00,8.90,0.070,0.301,0.008
Aug-16,Stn. XVI (Sta. Rosa),7.00,7.40,211.00,8.80,0.033,0.001,0.009
Aug-16,Stn. XVII (Sanctuary),2.00,7.30,46.00,8.90,0.025,0.037,0.005
Aug-16,Stn. XVIII (Pagsanjan),3.00,6.70,99.00,8.90,0.256,0.041,0.001
Sep-16,Stn. I (Central West Bay),3.00,7.30,335.00,7.80,0.076,0.728,0.134
Sep-16,Stn. II (East Bay),2.00,9.00,754.00,9.00,0.048,0.022,0.011
Sep-16,Stn. VIII (South Bay),2.00,8.80,272.00,9.00,0.001,0.109,0.045
Sep-16,Stn. XV (San Pedro),3.00,8.70,418.00,8.70,0.001,0.069,0.072
Sep-16,Stn. XVI (Sta. Rosa),4.00,10.20,211.00,9.00,0.011,0.037,0.036
