Month,Stations,BOD (mg/L),Dissolved Oxygen (mg/L),"Fecal Coliform, MPN/100ml (Geomean)",pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phospate (mg/L)
2021-01-01,Stn. XIII (Taytay),,,,,,,
2021-01-01,Stn. XIX (Muntinlupa),,,,,,,
2021-01-01,Stn. XX (GEMS),,,,,,,
2021-01-01,Stn. XXI (Cardona),,,,,,,
2021-01-01,Stn. XXII (Jala-jala),,,,,,,
2021-01-01,Stn. XXIII (Lumban),,,,,,,
2021-02-01,Stn. XIII (Taytay),,,,,,,
2021-02-01,Stn. XIX (Muntinlupa),,,,,,,
2021-02-01,Stn. XX (GEMS),,,,,,,
2021-02-01,Stn. XXI (Cardona),,,,,,,
2021-02-01,Stn. XXII (Jala-jala),,,,,,,
2021-02-01,Stn. XXIII (Lumban),,,,,,,
2021-03-01,Stn. XIII (Taytay),,,,,,,
2021-03-01,Stn. XIX (Muntinlupa),,,,,,,
2021-03-01,Stn. XX (GEMS),,,,,,,
2021-03-01,Stn. XXI (Cardona),,,,,,,
2021-03-01,Stn. XXII (Jala-jala),,,,,,,
2021-03-01,Stn. XXIII (Lumban),,,,,,,
2021-04-01,Stn. XIII (Taytay),,,,,,,
2021-04-01,Stn. XIX (Muntinlupa),,,,,,,
2021-04-01,Stn. XX (GEMS),,,,,,,
2021-04-01,Stn. XXI (Cardona),,,,,,,
2021-04-01,Stn. XXII (Jala-jala),,,,,,,
2021-04-01,Stn. XXIII (Lumban),,,,,,,
2021-05-01,Stn. XIII (Taytay),2.0,7.6,19.0,8.4,0.035,0.05,0.078
2021-05-01,Stn. XIX (Muntinlupa),2.0,7.3,30.0,8.5,0.046,0.05,0.119
2021-05-01,Stn. XX (GEMS),2.0,6.8,470.0,8.3,0.049,0.05,0.042
2021-05-01,Stn. XXI (Cardona),5.0,7.7,9.0,8.5,0.034,0.05,0.068
2021-05-01,Stn. XXII (Jala-jala),3.0,7.6,19.0,8.5,0.047,0.05,0.059
2021-05-01,Stn. XXIII (Lumban),3.0,7.9,51.0,8.4,0.046,0.05,0.005
2021-06-01,Stn. XIII (Taytay),,,,,,,
2021-06-01,Stn. XIX (Muntinlupa),1.0,7.5,28.0,8.1,0.046,0.131,0.105
2021-06-01,Stn. XX (GEMS),2.0,6.1,237.0,8.3,0.062,0.252,0.105
2021-06-01,Stn. XXI (Cardona),2.0,9.1,18.0,8.9,0.038,0.148,0.09
2021-06-01,Stn. XXII (Jala-jala),3.0,7.3,18.0,8.1,0.044,0.05,0.023
2021-06-01,Stn. XXIII (Lumban),3.0,8.8,43.0,8.8,0.043,0.05,0.06
2021-07-01,Stn. XIII (Taytay),3.0,6.8,39.0,8.8,0.065,0.05,0.189
2021-07-01,Stn. XIX (Muntinlupa),4.0,9.6,25.0,9.2,0.047,0.05,0.111
2021-07-01,Stn. XX (GEMS),2.0,6.3,235.0,8.4,0.075,0.05,0.083
2021-07-01,Stn. XXI (Cardona),4.0,7.4,18.0,7.8,0.041,0.05,0.148
2021-07-01,Stn. XXII (Jala-jala),3.0,7.8,24.0,8.8,0.041,0.05,0.108
2021-07-01,Stn. XXIII (Lumban),5.0,6.7,85.0,8.0,0.041,0.284,0.063
2021-08-01,Stn. XIII (Taytay),1.0,7.8,194.0,8.7,0.02,0.29,0.11
2021-08-01,Stn. XIX (Muntinlupa),1.0,8.0,108.0,8.7,0.02,0.16,0.09
2021-08-01,Stn. XX (GEMS),2.0,5.6,474.0,8.0,0.05,0.76,0.13
2021-08-01,Stn. XXI (Cardona),5.0,7.4,24.0,8.4,0.02,0.27,0.07
2021-08-01,Stn. XXII (Jala-jala),0.5,8.2,47.0,8.9,0.03,0.07,0.05
2021-08-01,Stn. XXIII (Lumban),4.0,7.2,247.0,8.1,0.03,0.21,0.03
2021-09-01,Stn. XIII (Taytay),2.5,6.9,194.0,9.4,0.03,0.17,0.18
2021-09-01,Stn. XIX (Muntinlupa),2.0,6.0,108.0,9.1,0.04,0.05,0.16
2021-09-01,Stn. XX (GEMS),2.5,5.4,293.0,9.2,0.02,0.05,0.13
2021-09-01,Stn. XXI (Cardona),3.5,8.5,57.0,9.2,0.03,0.05,0.1
2021-09-01,Stn. XXII (Jala-jala),1.75,9.6,91.0,9.6,0.03,0.13,0.08
2021-09-01,Stn. XXIII (Lumban),3.5,7.8,504.0,9.2,0.03,0.05,0.01
2021-10-01,Stn. XIII (Taytay),4.0,7.4,241.0,8.3,0.01,0.14,0.2
2021-10-01,Stn. XIX (Muntinlupa),3.0,6.5,307.0,8.2,0.04,0.05,0.17
2021-10-01,Stn. XX (GEMS),3.0,6.0,726.0,7.9,0.02,0.005,0.16
2021-10-01,Stn. XXI (Cardona),2.0,6.9,134.0,7.7,0.04,0.05,0.17
2021-10-01,Stn. XXII (Jala-jala),3.0,7.1,177.0,7.9,0.02,0.05,0.13
2021-10-01,Stn. XXIII (Lumban),,,,,,,
2021-11-01,Stn. XIII (Taytay),5.0,7.2,47.0,8.5,0.005,0.05,0.18
2021-11-01,Stn. XIX (Muntinlupa),5.0,7.2,55.0,8.3,0.005,0.05,0.2
2021-11-01,Stn. XX (GEMS),3.0,6.5,392.0,8.0,0.005,0.05,0.18
2021-11-01,Stn. XXI (Cardona),2.0,7.3,98.0,8.1,0.005,0.13,0.19
2021-11-01,Stn. XXII (Jala-jala),2.0,7.4,95.0,8.1,0.06,0.15,0.17
2021-11-01,Stn. XXIII (Lumban),2.0,7.3,636.0,7.5,0.005,0.12,0.06
2021-12-01,Stn. XIII (Taytay),2.0,7.2,54.0,8.1,0.005,0.62,0.25
2021-12-01,Stn. XIX (Muntinlupa),2.0,7.2,55.0,8.1,0.005,0.24,0.19
2021-12-01,Stn. XX (GEMS),3.0,7.1,633.0,8.1,0.005,0.26,0.19
2021-12-01,Stn. XXI (Cardona),2.0,7.5,42.0,8.2,0.011,0.28,0.2
2021-12-01,Stn. XXII (Jala-jala),2.0,7.8,51.0,8.3,0.017,0.23,0.17
2021-12-01,Stn. XXIII (Lumban),3.0,8.1,294.0,8.0,0.033,0.05,0.06
2022-01-01,Stn. XIII (Taytay),,,,,,,
2022-01-01,Stn. XIX (Muntinlupa),,,,,,,
2022-01-01,Stn. XX (GEMS),,,,,,,
2022-01-01,Stn. XXI (Cardona),,,,,,,
2022-01-01,Stn. XXII (Jala-jala),,,,,,,
2022-01-01,Stn. XXIII (Lumban),,,,,,,
2022-02-01,Stn. XIII (Taytay),3.0,7.4,37.0,8.6,0.225,0.351,0.14
2022-02-01,Stn. XIX (Muntinlupa),2.0,7.5,19.0,8.1,0.171,0.512,0.16
2022-02-01,Stn. XX (GEMS),2.0,7.2,330.0,8.1,0.117,0.517,0.16
2022-02-01,Stn. XXI (Cardona),1.0,7.6,18.0,8.2,0.206,0.661,0.13
2022-02-01,Stn. XXII (Jala-jala),1.0,7.6,19.0,8.2,0.192,0.341,0.13
2022-02-01,Stn. XXIII (Lumban),3.0,7.8,39.0,8.1,0.209,0.005,0.05
2022-03-01,Stn. XIII (Taytay),4.0,8.9,43.0,8.2,0.02,0.02,0.16
2022-03-01,Stn. XIX (Muntinlupa),3.0,7.5,20.0,8.1,0.01,0.12,0.2
2022-03-01,Stn. XX (GEMS),2.0,6.6,320.0,7.9,0.04,0.005,0.14
2022-03-01,Stn. XXI (Cardona),2.0,7.2,28.0,7.0,0.01,0.005,0.14
2022-03-01,Stn. XXII (Jala-jala),,,,,,,
2022-03-01,Stn. XXIII (Lumban),3.0,7.3,39.0,7.5,0.06,0.15,0.05
2022-04-01,Stn. XIII (Taytay),4.0,8.1,33.0,8.7,0.01,0.05,0.22
2022-04-01,Stn. XIX (Muntinlupa),3.0,7.0,25.0,8.4,0.01,0.01,0.2
2022-04-01,Stn. XX (GEMS),3.0,7.0,166.0,8.2,0.01,0.07,0.14
2022-04-01,Stn. XXI (Cardona),2.0,7.2,24.0,8.5,0.01,0.01,0.16
2022-04-01,Stn. XXII (Jala-jala),3.0,7.2,19.0,8.3,0.01,0.01,0.13
2022-04-01,Stn. XXIII (Lumban),4.0,8.0,243.0,7.8,0.04,0.01,0.055
2022-05-01,Stn. XIII (Taytay),3.0,7.4,32.0,8.4,0.01,0.02,0.18
2022-05-01,Stn. XIX (Muntinlupa),4.0,7.4,24.0,8.4,0.01,0.07,0.21
2022-05-01,Stn. XX (GEMS),3.0,6.7,145.0,8.2,0.01,0.02,0.13
